Model,Ability_PC1,Ability,Coherence_Cosine_Raw,Coherence_Cosine_Centered,Coherence_R2_1F,RMSE_1F,Delta_g,params_num,gfactor_meta,model_type,size_band,ability_decile
chargoddard/ypotryll-22b-epoch2-qlora,15.807274608477343,109.597517094579,0.8278235975436518,0.5373962985121081,0.2887947816545078,0.2258749845253177,7.00000000000145e-5,22,-0.17669135,base_or_other,20B+,7
brucethemoose/CaPlatTessDolXaBoros-Yi-34B-200K-DARE-Ties-ExtremeDensity,25.08593633787851,115.23113305738298,0.8625026684591856,0.6516883940758343,0.42469776297313544,0.2658561441953083,-8.9999999999979e-5,34.389,2.41107559,merge_or_moe,20B+,10
brucethemoose/Yi-34B-200K-DARE-merge-v5,25.39828144526997,115.42077596432597,0.8644380485015597,0.6543868612042745,0.42822216411677616,0.26723402934346085,-9.9999999999989e-5,34.389,2.401051464,merge_or_moe,20B+,10
sia-ai/llama-2-7b-1-percent-open-orca-1000-steps-v0,12.792798862217072,107.76725329373309,0.8092466906342075,0.44335599040025264,0.19656453422378128,0.23550321019758685,1.4000000000002e-4,7,-0.600638032,instruction_or_chat,2B-20B,6
Eric111/Snorkel-Mistral-PairRM-DPO-openchat-3.5-0106-laser,24.995730492446743,115.17636383466713,0.8668148711399617,0.6722454500158246,0.4519139450669726,0.2506517143775764,-1.2e-4,7.242,1.386235601,instruction_or_chat,2B-20B,10
0x7194633/fialka-13B-v4,-30.489381781105763,81.4881204954599,0.44730128042565337,-0.6529609464155463,0.42635799754388803,0.32202547122472786,-1.3999999999997e-4,12.853,-0.758289734,base_or_other,2B-20B,2
togethercomputer/RedPajama-INCITE-Chat-7B-v0.1,-0.507557400164637,99.69183234015888,0.7144963465018196,-0.01288734467538541,1.6608365277881454e-4,0.35858654832905856,5.7000000000001e-4,6.651,-1.015255384,instruction_or_chat,2B-20B,4
togethercomputer/GPT-NeoXT-Chat-Base-20B,5.89369391954222,103.57840485118714,0.7603719375523275,0.18606075599062896,0.03461860491979596,0.28339396667937417,3.2999999999999e-4,20,-0.754933266,instruction_or_chat,20B+,5
togethercomputer/RedPajama-INCITE-Instruct-3B-v1,-6.523512792156895,96.03919542804337,0.6633438072401563,-0.18995709033160696,0.036083696167249046,0.30701105496250286,3.9e-4,3,-1.137334452,instruction_or_chat,2B-20B,4
silvercoder45/Mistral-7b-instruct-v0.2-summ-dpo-e3,23.348137486973815,114.1760141585468,0.8608535459182102,0.6461642063065952,0.4175281815118227,0.251104875561746,-7.00000000000145e-5,7,0.964005623,instruction_or_chat,2B-20B,9
Josephgflowers/160M-TinyLLama-Mini-Cinder,-48.002106931185125,70.85512504471906,0.26506771237264976,-0.7880070296958507,0.6209550788500839,0.3414946391830197,-9.6000000000001e-4,0.138,-0.704233999,base_or_other,<2B,1
Josephgflowers/Tinyllama-1.3B-Cinder-Reason-Test,-19.809333528727684,87.97259983879692,0.5472022726957723,-0.4863475339208133,0.23653392375085325,0.3240606954306406,2.0999999999998e-4,1.276,-0.723012542,base_or_other,<2B,3
Josephgflowers/Cinder-Phi-2-STEM-2.94B-Test,8.074301195919162,104.90237853608582,0.7633833920931474,0.22674809225020862,0.0514146973391002,0.3157968844313529,4.0000000000001e-4,2.937,0.388594247,base_or_other,2B-20B,5
Josephgflowers/TinyLlama-748M-Reason-With-Cinder-Test-2,-43.31075149164574,73.70352017562789,0.3172374926619782,-0.7672304143929637,0.588642508769606,0.329676472911517,-7.1999999999999e-4,0.748,-0.775727326,base_or_other,<2B,2
Josephgflowers/distillgpt2Cinder,-49.35391019327518,70.03436654980057,0.24711107445255936,-0.804423363783815,0.647096948201275,0.33187377773355603,-0.00107000000000002,0.082,-0.858691341,base_or_other,<2B,1
Josephgflowers/Cinder-Phi-2-V1-F16-gguf,10.902287505764777,106.6194137381834,0.7827979837499538,0.30654970014775523,0.09397271866066825,0.3082447679423279,3.4e-4,2.78,0.25935691,base_or_other,2B-20B,5
Josephgflowers/Cinder-1.3B-Test,-19.781270487740763,87.98963854548539,0.5514131812018916,-0.4663950810583019,0.21752437163537564,0.34162053709564505,2.6999999999999e-4,1.276,-0.824921043,base_or_other,<2B,3
Josephgflowers/tinyllama-730M-test,-43.80474773986321,73.40358628099038,0.31234348440489723,-0.7704712376693658,0.5936259280757756,0.33001683089256684,-7.4999999999997e-4,0.748,-0.828341276,base_or_other,<2B,2
Fredithefish/RedPajama-INCITE-Chat-3B-Instruction-Tuning-with-GPT-4,-5.893027043689084,96.42200004798482,0.6683321962947784,-0.1738671373424527,0.030229781447655757,0.3039230879621098,3.9e-4,2.91,-1.214695472,instruction_or_chat,2B-20B,4
Fredithefish/Guanaco-3B-Uncensored-v2,-4.95494209813979,96.991566056299,0.6780730480604614,-0.1432035623023644,0.020507260256084403,0.3118126385000323,4.1000000000002e-4,2.776,-1.341197819,instruction_or_chat,2B-20B,4
dball/zephyr-tiny-sft-qlora-quantized-2,-16.462252202365505,90.00480785962043,0.5789853927704642,-0.4253170508324545,0.18089459372881278,0.31897356659291837,2.8e-4,NA,-1.290709942,base_or_other,unknown,3
kimwooglae/AISquare-Instruct-SOLAR-10.7b-v0.5.31,22.338534733235594,113.56302552339397,0.857356502652979,0.6537082717164372,0.42733450451048294,0.235466729610272,-7.00000000000145e-5,10.7,0.50329394,instruction_or_chat,2B-20B,9
Mikivis/gpt2-large-lora-sft1,-35.790545137849406,78.26947546033047,0.3950865000035442,-0.7191592498471708,0.5171900266407553,0.31487610182772524,-3.7999999999999e-4,0.774,-0.839277042,base_or_other,<2B,2
tyson0420/stack_codellama-7b-inst,-3.116189881166996,98.10797962360853,0.6892274979151277,-0.08862547259537307,0.007854474392747002,0.3189050373162852,4.3999999999999e-4,6.739,-0.639176453,base_or_other,2B-20B,4
abhinand/TinyLlama-1.1B-OpenHermes-2.5-Chat-v0.1-sft,-15.600939781399612,90.52776079671688,0.5846908750263929,-0.4042482950745476,0.16341668407067877,0.3214145289971013,3.0000000000002e-4,1.1,-0.679035291,instruction_or_chat,<2B,3
abhinand/telugu-llama-7b-instruct-v0.1,-2.787328688249444,98.3076504080382,0.7006395941027196,-0.06905354315756973,0.004768391822601803,0.3666676870720416,5.8999999999997e-4,7,-1.144169907,instruction_or_chat,2B-20B,4
abhinand/gemma-2b-it-tamil-v0.1-alpha,3.7493869388541525,102.2764711900776,0.7424715629471784,0.11280190596639725,0.012724269989645154,0.3007262897299675,3.9e-4,2.506,-0.4273214,instruction_or_chat,2B-20B,5
abhinand/tamil-llama-13b-instruct-v0.1,13.936528082059768,108.46167791852724,0.8133655882758729,0.44880516943783233,0.20142608011411167,0.252675216388722,1.5999999999999e-4,13,-0.41638428,instruction_or_chat,2B-20B,6
kevin009/flyingllama,-41.35480895238241,74.89108681323957,0.33312574336479345,-0.7802225983957406,0.608747303047415,0.30188706639060664,-6.8999999999996e-4,0.462,-1.152313994,base_or_other,<2B,2
beomi/KoAlpaca-Polyglot-5.8B,-40.467596334533255,75.42976526839635,0.3597967012495862,-0.7035022478219498,0.49491541269054806,0.3722479538104993,-4.2999999999998e-4,6.003,-1.448786332,instruction_or_chat,2B-20B,2
